,,0,1,2,3,4
722,153,1,1,1,1,1
731,9,1,1,1,1,1
731,19,1,1,1,1,1
731,96,1,1,1,1,1
731,101,1,1,1,1,1
731,182,1,1,1,1,1
735,36,1,1,1,1,1
735,90,1,1,1,1,1
735,94,1,1,1,1,1
735,106,1,1,1,1,1
735,148,1,1,1,1,1
735,152,1,1,1,1,1
735,154,1,1,1,1,1
735,181,1,1,1,1,1
739,87,1,1,1,1,1
739,93,1,1,1,1,1
739,107,1,1,1,1,1
739,137,1,1,1,1,1
739,170,1,1,1,1,1
739,185,1,1,1,1,1
747,66,1,1,1,1,1
747,70,1,1,1,1,1
747,99,1,1,1,1,1
747,119,1,1,1,1,1
747,121,1,1,1,1,1
747,129,1,1,1,1,1
747,140,1,1,1,1,1
748,41,1,1,1,1,1
748,43,1,1,1,1,1
748,48,1,1,1,1,1
748,49,1,1,1,1,1
748,88,1,1,1,1,1
748,160,1,1,1,1,1
748,166,1,1,1,1,1
757,87,1,1,1,1,1
757,93,1,1,1,1,1
757,107,1,1,1,1,1
757,137,1,1,1,1,1
757,170,1,1,1,1,1
757,185,1,1,1,1,1
762,64,1,1,1,1,1
773,51,1,1,1,1,1
773,65,1,1,1,1,1
773,74,1,1,1,1,1
773,83,1,1,1,1,1
773,109,1,1,1,1,1
773,131,1,1,1,1,1
773,133,1,1,1,1,1
773,168,1,1,1,1,1
773,178,1,1,1,1,1
773,186,1,1,1,1,1
773,194,1,1,1,1,1
778,1,1,1,1,1,1
778,28,1,1,1,1,1
778,67,1,1,1,1,1
778,79,1,1,1,1,1
778,165,1,1,1,1,1
800,150,1,1,1,1,1
803,66,1,1,1,1,1
803,70,1,1,1,1,1
803,99,1,1,1,1,1
803,119,1,1,1,1,1
803,121,1,1,1,1,1
803,129,1,1,1,1,1
803,140,1,1,1,1,1
815,14,1,1,1,1,1
815,16,1,1,1,1,1
815,46,1,1,1,1,1
815,58,1,1,1,1,1
815,103,1,1,1,1,1
815,136,1,1,1,1,1
815,153,1,1,1,1,1
821,20,1,1,1,1,1
821,57,1,1,1,1,1
821,62,1,1,1,1,1
821,77,1,1,1,1,1
821,86,1,1,1,1,1
821,100,1,1,1,1,1
821,117,1,1,1,1,1
821,146,1,1,1,1,1
821,155,1,1,1,1,1
821,176,1,1,1,1,1
821,183,1,1,1,1,1
829,51,1,1,1,1,1
829,65,1,1,1,1,1
829,74,1,1,1,1,1
829,83,1,1,1,1,1
829,109,1,1,1,1,1
829,131,1,1,1,1,1
829,133,1,1,1,1,1
829,168,1,1,1,1,1
829,178,1,1,1,1,1
829,186,1,1,1,1,1
829,194,1,1,1,1,1
834,5,1,1,1,1,1
834,30,1,1,1,1,1
834,191,1,1,1,1,1
837,20,1,1,1,1,1
837,57,1,1,1,1,1
837,62,1,1,1,1,1
837,77,1,1,1,1,1
837,86,1,1,1,1,1
837,100,1,1,1,1,1
837,117,1,1,1,1,1
837,146,1,1,1,1,1
837,155,1,1,1,1,1
837,176,1,1,1,1,1
837,183,1,1,1,1,1
841,15,1,1,1,1,1
841,18,1,1,1,1,1
841,24,1,1,1,1,1
841,32,1,1,1,1,1
841,59,1,1,1,1,1
841,60,1,1,1,1,1
841,68,1,1,1,1,1
841,80,1,1,1,1,1
841,97,1,1,1,1,1
841,110,1,1,1,1,1
841,111,1,1,1,1,1
841,120,1,1,1,1,1
841,130,1,1,1,1,1
841,180,1,1,1,1,1
845,9,1,1,1,1,1
845,19,1,1,1,1,1
845,96,1,1,1,1,1
845,101,1,1,1,1,1
845,182,1,1,1,1,1
849,33,1,1,1,1,1
849,47,1,1,1,1,1
849,55,1,1,1,1,1
849,75,1,1,1,1,1
849,82,1,1,1,1,1
849,115,1,1,1,1,1
849,116,1,1,1,1,1
849,124,1,1,1,1,1
849,142,1,1,1,1,1
849,145,1,1,1,1,1
849,147,1,1,1,1,1
849,162,1,1,1,1,1
849,169,1,1,1,1,1
851,36,1,1,1,1,1
851,90,1,1,1,1,1
851,94,1,1,1,1,1
851,106,1,1,1,1,1
851,148,1,1,1,1,1
851,152,1,1,1,1,1
851,154,1,1,1,1,1
851,181,1,1,1,1,1
856,33,1,1,1,1,1
856,47,1,1,1,1,1
856,55,1,1,1,1,1
856,75,1,1,1,1,1
856,82,1,1,1,1,1
856,115,1,1,1,1,1
856,116,1,1,1,1,1
856,124,1,1,1,1,1
856,142,1,1,1,1,1
856,145,1,1,1,1,1
856,147,1,1,1,1,1
856,162,1,1,1,1,1
856,169,1,1,1,1,1
857,66,1,1,1,1,1
857,70,1,1,1,1,1
857,99,1,1,1,1,1
857,119,1,1,1,1,1
857,121,1,1,1,1,1
857,129,1,1,1,1,1
857,140,1,1,1,1,1
859,36,1,1,1,1,1
859,90,1,1,1,1,1
859,94,1,1,1,1,1
859,106,1,1,1,1,1
859,148,1,1,1,1,1
859,152,1,1,1,1,1
859,154,1,1,1,1,1
859,181,1,1,1,1,1
864,51,1,1,1,1,1
864,65,1,1,1,1,1
864,74,1,1,1,1,1
864,83,1,1,1,1,1
864,109,1,1,1,1,1
864,131,1,1,1,1,1
864,133,1,1,1,1,1
864,168,1,1,1,1,1
864,178,1,1,1,1,1
864,186,1,1,1,1,1
864,194,1,1,1,1,1
868,63,1,1,1,1,1
868,76,1,1,1,1,1
868,108,1,1,1,1,1
868,138,1,1,1,1,1
868,139,1,1,1,1,1
868,171,1,1,1,1,1
878,87,1,1,1,1,1
878,93,1,1,1,1,1
878,107,1,1,1,1,1
878,137,1,1,1,1,1
878,170,1,1,1,1,1
878,185,1,1,1,1,1
886,15,1,1,1,1,1
886,18,1,1,1,1,1
886,24,1,1,1,1,1
886,32,1,1,1,1,1
886,59,1,1,1,1,1
886,60,1,1,1,1,1
886,68,1,1,1,1,1
886,80,1,1,1,1,1
886,97,1,1,1,1,1
886,110,1,1,1,1,1
886,111,1,1,1,1,1
886,120,1,1,1,1,1
886,130,1,1,1,1,1
886,180,1,1,1,1,1
908,20,1,1,1,1,1
908,57,1,1,1,1,1
908,62,1,1,1,1,1
908,77,1,1,1,1,1
908,86,1,1,1,1,1
908,100,1,1,1,1,1
908,117,1,1,1,1,1
908,146,1,1,1,1,1
908,155,1,1,1,1,1
908,176,1,1,1,1,1
908,183,1,1,1,1,1
941,9,1,1,1,1,1
941,19,1,1,1,1,1
941,96,1,1,1,1,1
941,101,1,1,1,1,1
941,182,1,1,1,1,1
944,15,1,1,1,1,1
944,18,1,1,1,1,1
944,24,1,1,1,1,1
944,32,1,1,1,1,1
944,59,1,1,1,1,1
944,60,1,1,1,1,1
944,68,1,1,1,1,1
944,80,1,1,1,1,1
944,97,1,1,1,1,1
944,110,1,1,1,1,1
944,111,1,1,1,1,1
944,120,1,1,1,1,1
944,130,1,1,1,1,1
944,180,1,1,1,1,1
949,20,1,1,1,1,1
949,57,1,1,1,1,1
949,62,1,1,1,1,1
949,77,1,1,1,1,1
949,86,1,1,1,1,1
949,100,1,1,1,1,1
949,117,1,1,1,1,1
949,146,1,1,1,1,1
949,155,1,1,1,1,1
949,176,1,1,1,1,1
949,183,1,1,1,1,1
962,51,1,1,1,1,1
962,65,1,1,1,1,1
962,74,1,1,1,1,1
962,83,1,1,1,1,1
962,109,1,1,1,1,1
962,131,1,1,1,1,1
962,133,1,1,1,1,1
962,168,1,1,1,1,1
962,178,1,1,1,1,1
962,186,1,1,1,1,1
962,194,1,1,1,1,1
967,51,1,1,1,1,1
967,65,1,1,1,1,1
967,74,1,1,1,1,1
967,83,1,1,1,1,1
967,109,1,1,1,1,1
967,131,1,1,1,1,1
967,133,1,1,1,1,1
967,168,1,1,1,1,1
967,178,1,1,1,1,1
967,186,1,1,1,1,1
967,194,1,1,1,1,1
969,41,1,1,1,1,1
969,43,1,1,1,1,1
969,48,1,1,1,1,1
969,49,1,1,1,1,1
969,88,1,1,1,1,1
969,160,1,1,1,1,1
969,166,1,1,1,1,1
970,33,1,1,1,1,1
970,47,1,1,1,1,1
970,55,1,1,1,1,1
970,75,1,1,1,1,1
970,82,1,1,1,1,1
970,115,1,1,1,1,1
970,116,1,1,1,1,1
970,124,1,1,1,1,1
970,142,1,1,1,1,1
970,145,1,1,1,1,1
970,147,1,1,1,1,1
970,162,1,1,1,1,1
970,169,1,1,1,1,1
994,20,1,1,1,1,1
994,57,1,1,1,1,1
